time,t1,t2
2020-04-02 16:17:11,25.0,24.9
2020-04-02 16:17:33,25.1,24.9
2020-04-02 16:17:55,25.1,24.9
2020-04-02 16:18:16,25.1,25.0
2020-04-02 16:18:38,25.1,25.0
2020-04-02 16:19:00,25.1,24.9
2020-04-02 16:19:22,25.1,24.9
2020-04-02 16:19:44,25.1,25.0
2020-04-02 16:20:05,25.1,24.9
2020-04-02 16:20:27,25.1,25.0
2020-04-02 16:20:49,25.1,25.0
2020-04-02 16:21:11,25.1,25.0
2020-04-02 16:21:33,25.1,24.9
2020-04-02 16:21:56,25.1,24.9
2020-04-02 16:22:17,25.1,24.9
2020-04-02 16:22:39,25.1,24.9
2020-04-02 16:23:01,25.1,24.9
2020-04-02 16:23:23,25.1,25.0
2020-04-02 16:23:45,25.1,25.0
2020-04-02 16:24:06,25.0,24.9
2020-04-02 16:24:28,25.0,24.9
2020-04-02 16:24:50,25.0,24.9
2020-04-02 16:25:12,25.0,24.9
2020-04-02 16:25:34,25.1,24.9
2020-04-02 16:25:55,24.9,24.8
2020-04-02 16:26:17,25.0,24.9
2020-04-02 16:26:39,24.9,24.9
2020-04-02 16:27:01,25.0,24.9
2020-04-02 16:27:23,25.0,24.9
2020-04-02 16:27:45,25.0,24.9
2020-04-02 16:28:07,25.0,24.9
2020-04-02 16:28:28,25.0,24.9
2020-04-02 16:28:50,25.0,24.9
2020-04-02 16:29:12,25.0,24.9
2020-04-02 16:29:34,25.0,24.9
2020-04-02 16:29:56,25.0,24.9
2020-04-02 16:30:17,24.9,24.8
2020-04-02 16:30:39,24.9,24.8
2020-04-02 16:31:01,25.0,24.9
2020-04-02 16:31:23,24.9,24.9
2020-04-02 16:31:45,24.9,24.8
2020-04-02 16:32:07,25.0,24.9
2020-04-02 16:32:28,24.9,24.8
2020-04-02 16:32:50,24.9,24.8
2020-04-02 16:33:12,24.9,24.9
2020-04-02 16:33:34,25.0,24.9
2020-04-02 16:33:56,25.0,24.9
2020-04-02 16:34:18,25.0,24.9
2020-04-02 16:34:39,25.0,24.9
2020-04-02 16:35:01,24.9,24.9
2020-04-02 16:35:23,24.9,24.9
2020-04-02 16:35:45,25.0,24.9
2020-04-02 16:36:07,24.9,24.9
2020-04-02 16:36:29,24.9,24.9
2020-04-02 16:36:50,24.9,24.8
2020-04-02 16:37:12,25.0,24.9
2020-04-02 16:37:34,24.9,24.8
2020-04-02 16:37:56,25.0,24.9
2020-04-02 16:38:18,25.0,24.9
2020-04-02 16:38:39,24.9,24.8
2020-04-02 16:39:01,25.0,24.9
2020-04-02 16:39:23,25.1,24.9
2020-04-02 16:39:45,25.1,24.9
2020-04-02 16:40:07,25.0,24.9
2020-04-02 16:40:29,24.9,24.9
2020-04-02 16:40:50,24.9,24.9
2020-04-02 16:41:12,24.9,24.8
2020-04-02 16:41:34,24.9,24.8
2020-04-02 16:41:56,24.9,24.8
2020-04-02 16:42:18,24.9,24.8
2020-04-02 16:42:39,24.9,24.8
2020-04-02 16:43:01,24.9,24.9
2020-04-02 16:43:23,24.9,24.8
2020-04-02 16:43:45,24.9,24.9
2020-04-02 16:44:07,25.0,24.9
2020-04-02 16:44:29,25.0,24.9
2020-04-02 16:44:50,25.0,24.9
2020-04-02 16:45:12,25.0,24.9
2020-04-02 16:45:34,25.1,24.9
2020-04-02 16:45:56,25.0,24.9
2020-04-02 16:46:18,25.0,24.9
2020-04-02 16:46:40,25.0,24.9
2020-04-02 16:47:01,25.0,24.9
2020-04-02 16:47:23,25.1,24.9
2020-04-02 16:47:45,25.0,24.9
2020-04-02 16:48:07,25.0,24.9
2020-04-02 16:48:29,25.0,24.9
2020-04-02 16:48:51,25.0,24.9
2020-04-02 16:49:12,25.0,24.9
2020-04-02 16:49:34,25.0,24.9
2020-04-02 16:49:56,24.9,24.9
2020-04-02 16:50:18,25.0,24.9
2020-04-02 16:50:40,25.0,24.9
2020-04-02 16:51:02,25.0,24.9
2020-04-02 16:51:23,24.9,24.8
2020-04-02 16:51:45,24.9,24.8
2020-04-02 16:52:07,24.9,24.9
2020-04-02 16:52:29,25.0,24.9
2020-04-02 16:52:51,25.1,24.9
2020-04-02 16:53:13,25.0,24.9
2020-04-02 16:53:34,25.1,24.9
2020-04-02 16:53:57,24.9,24.8
2020-04-02 16:54:19,24.9,24.8
2020-04-02 16:54:41,24.9,24.9
2020-04-02 16:55:03,24.9,24.9
2020-04-02 16:55:24,24.9,24.9
2020-04-02 16:55:46,25.0,24.9
2020-04-02 16:56:08,24.9,24.8
2020-04-02 16:56:30,24.9,24.8
2020-04-02 16:56:52,24.9,24.8
2020-04-02 16:57:14,24.9,24.8
2020-04-02 16:57:35,24.8,24.6
2020-04-02 16:57:57,24.7,24.6
2020-04-02 16:58:19,24.7,24.5
2020-04-02 16:58:41,24.7,24.6
2020-04-02 16:59:03,24.7,24.5
2020-04-02 16:59:25,24.6,24.5
2020-04-02 16:59:46,24.7,24.6
2020-04-02 17:00:08,24.7,24.6
2020-04-02 17:00:30,24.7,24.6
2020-04-02 17:00:52,24.8,24.6
2020-04-02 17:01:14,24.8,24.6
2020-04-02 17:01:36,24.7,24.6
2020-04-02 17:01:57,24.6,24.5
2020-04-02 17:02:19,24.6,24.5
